,background_activity,i_e_weight,e_i_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous
0,10.078829388845664,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.8876591459513957,0.8059471588741743,0.9878868746031998,216.0,2.6666666666666665
1,10.156721924884963,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.8992314697700948,0.8209634159691167,0.9940243321783045,285.3333333333333,1.6666666666666667
2,11.10507890238734,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9234834042245863,0.8609389867057665,0.9959402234789497,248.33333333333334,1.0
3,12.074859747202712,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.957991755182543,0.9239902888954022,0.994747702584052,321.3333333333333,1.6666666666666667
4,12.85561826722386,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9688920476386951,0.9442912669024549,0.9949907260739477,277.0,1.3333333333333333
5,13.208540659980343,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9747861870435267,0.9635794201290787,0.9865436831598274,294.6666666666667,4.0
6,13.928460067709993,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9741532965359055,0.9575876901764596,0.991651410339383,281.3333333333333,2.3333333333333335
7,14.14305958680023,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9810826651466993,0.969214621592792,0.9935107169253511,272.0,1.6666666666666667
8,14.7234966033511,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9995790689628711,1.0025551270974111,0.9966611235789272,305.3333333333333,1.0
9,14.770378869855909,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9955338689178785,0.9973977789965939,0.9937339505646413,277.3333333333333,1.6666666666666667
10,14.885832041731023,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9930511850330959,0.9953141663160464,0.991103044866026,302.0,2.6666666666666665
11,15.095621488966966,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.993326116992586,0.9922600142624529,0.9947337218396024,299.3333333333333,1.6666666666666667
12,15.807179970606779,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9751501334331074,0.974036126916262,0.9762895148601319,304.3333333333333,7.666666666666667
13,15.935876067444827,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9763499318767966,0.9911025529540011,0.9633322868619544,322.3333333333333,13.666666666666666
14,16.15446321583607,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9590873335460036,0.9305818972667309,0.9896512883090064,283.0,3.0
15,16.616525764259524,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9285387772237743,0.8951144361678143,0.9653818809556894,265.3333333333333,9.666666666666666
16,16.6340316369049,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.9030919123959107,0.8783811135275594,0.9294016146243452,247.33333333333334,19.333333333333332
17,17.251633021291553,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.8500437259396124,0.8031696085331808,0.9032411873155346,254.0,27.666666666666668
18,17.744764832504792,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.7231241647944439,0.6661500464358251,0.7988562222400243,199.33333333333334,51.333333333333336
19,17.76200822004254,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.7151206501843116,0.6602270829749393,0.7876357349863996,204.66666666666666,56.666666666666664
20,20.08915611729268,5.011403421477593,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,256.0,10.0,0.3499744180880153,0.2539800385309918,0.5635444627580253,78.33333333333333,60.666666666666664
