,score,params,iteration,recall,accuracy,triggered,spontaneous
1978,0.8765046795914577,"{'attractor_size': 64, 'background_activity': 14.508592934680763, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.046297225634962, 'e_i_weight': 6.0235309950103, 'i_e_weight': 8.535099799858033, 'i_frequency': 11.262849242943197, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1978,0.7907035874707585,0.9831932773109243,117,2
1639,0.8757865305617372,"{'attractor_size': 64, 'background_activity': 14.02422514512793, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.61805871083833, 'e_i_weight': 6.474374750873697, 'i_e_weight': 9.545864140145216, 'i_frequency': 10.036646765774213, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1639,0.7852002255480511,0.99,99,1
603,0.8744175396916225,"{'attractor_size': 64, 'background_activity': 14.569649416711469, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.529888670174799, 'e_i_weight': 5.85166893491199, 'i_e_weight': 9.130975927899627, 'i_frequency': 11.989960831016193, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",603,0.7768578229728784,1.0,118,0
1162,0.8739881552394595,"{'attractor_size': 64, 'background_activity': 14.941872904981784, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.443231132902792, 'e_i_weight': 6.152725590529265, 'i_e_weight': 13.193078416395942, 'i_frequency': 10.013297157227548, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1162,0.7820737471168102,0.9903846153846154,103,1
1950,0.8735236821835676,"{'attractor_size': 64, 'background_activity': 14.347042803784763, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.140979806336771, 'e_i_weight': 5.893844034579584, 'i_e_weight': 8.590246653863707, 'i_frequency': 10.53522513816467, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1950,0.7754478885777293,1.0,101,0
1819,0.8732972672096762,"{'attractor_size': 64, 'background_activity': 14.995020552870148, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.229076879982658, 'e_i_weight': 5.7900217683656, 'i_e_weight': 8.157332255303604, 'i_frequency': 11.547176653793727, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1819,0.8149872779647588,0.9405940594059405,95,6
1981,0.8727761991842263,"{'attractor_size': 64, 'background_activity': 14.690530231052783, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.574332941264828, 'e_i_weight': 5.433470470638382, 'i_e_weight': 10.035260990944687, 'i_frequency': 12.088037246756954, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1981,0.7742705561687012,1.0,143,0
1685,0.8724984710296826,"{'attractor_size': 64, 'background_activity': 13.636015816107706, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.539500553733673, 'e_i_weight': 7.456645280850561, 'i_e_weight': 7.524765173503057, 'i_frequency': 10.584908943068639, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1685,0.7738335147327785,1.0,107,0
1086,0.8719479707216056,"{'attractor_size': 64, 'background_activity': 15.244093403067673, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.69646981581126, 'e_i_weight': 5.765417817244309, 'i_e_weight': 11.722387030481329, 'i_frequency': 10.55060860976056, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1086,0.7978003791815546,0.9612903225806452,149,6
912,0.8711948552215091,"{'attractor_size': 64, 'background_activity': 14.26367071138785, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.32718474464579, 'e_i_weight': 5.297443488308718, 'i_e_weight': 11.203697159699372, 'i_frequency': 10.569722292190121, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",912,0.7717849792334764,1.0,117,0
1675,0.8709568015626159,"{'attractor_size': 64, 'background_activity': 14.510742861175144, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.589323007353693, 'e_i_weight': 6.527110842755689, 'i_e_weight': 7.995433268581981, 'i_frequency': 10.568752545701278, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1675,0.7756854966580032,0.9929078014184397,140,1
582,0.8708373760459057,"{'attractor_size': 64, 'background_activity': 15.041173499761832, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.946051942985797, 'e_i_weight': 5.663723379124424, 'i_e_weight': 13.147829323249626, 'i_frequency': 10.037606833370372, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",582,0.7712240536233951,1.0,100,0
1610,0.8706868339236563,"{'attractor_size': 64, 'background_activity': 14.945392494850509, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.097576208256847, 'e_i_weight': 5.825876553424349, 'i_e_weight': 10.038471315981713, 'i_frequency': 10.494218867663387, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1610,0.8259642109500033,0.9205298013245033,139,12
1646,0.8692729818440081,"{'attractor_size': 64, 'background_activity': 14.837749780861365, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.159693353464926, 'e_i_weight': 6.894822046908457, 'i_e_weight': 7.373676698945675, 'i_frequency': 13.36573773000808, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1646,0.7687735128692977,1.0,129,0
606,0.8682158167257392,"{'attractor_size': 64, 'background_activity': 14.960592284944925, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.663533943564762, 'e_i_weight': 5.727140916495123, 'i_e_weight': 10.253617283998363, 'i_frequency': 10.012333897083403, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",606,0.8123516001486412,0.9323308270676691,124,9
826,0.868197045051234,"{'attractor_size': 64, 'background_activity': 15.143604892530817, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 8.507086504291317, 'e_i_weight': 6.326754929772818, 'i_e_weight': 11.680999036092203, 'i_frequency': 10.478783475106036, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",826,0.7721545561547364,0.9915254237288136,117,1
787,0.8681144614443751,"{'attractor_size': 64, 'background_activity': 14.964790645419878, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.660896960429497, 'e_i_weight': 5.209858160318613, 'i_e_weight': 10.986421570983037, 'i_frequency': 10.030775122720497, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",787,0.7862601589939892,0.9689922480620154,125,4
1075,0.8679206726099448,"{'attractor_size': 64, 'background_activity': 14.774270086694804, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.24108707637107, 'e_i_weight': 4.877309775069417, 'i_e_weight': 9.428953552434553, 'i_frequency': 11.11293137525575, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1075,0.8025522898270664,0.9448818897637795,120,7
1507,0.8678491046959833,"{'attractor_size': 64, 'background_activity': 14.941534064415492, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.623451853740892, 'e_i_weight': 5.554723970607917, 'i_e_weight': 12.66595836285083, 'i_frequency': 10.001683156218778, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1507,0.772411259471271,0.9901960784313726,101,1
1947,0.8678149146523686,"{'attractor_size': 64, 'background_activity': 14.742349206530422, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.834868867032279, 'e_i_weight': 6.053672991286859, 'i_e_weight': 8.988325794921133, 'i_frequency': 10.92167374365519, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1947,0.7843531474947406,0.9711538461538461,101,3
1939,0.866716096024368,"{'attractor_size': 64, 'background_activity': 14.271932019485543, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.708426750971421, 'e_i_weight': 5.88858047643246, 'i_e_weight': 10.484628482447405, 'i_frequency': 10.813300900446963, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1939,0.7694907987782282,0.9920634920634921,125,1
