,e_i_weight,background_activity,i_e_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
0,-4.921626771375992,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.38756517842523025,0.6959733057066056,0.2685786151382175,190.33333333333334,517.3333333333334,-4.92
1,-3.8506404609039553,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3872105443375257,0.6912555071341098,0.26897548001234484,189.66666666666666,514.3333333333334,-3.85
2,-3.745887298139289,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.38837925121868383,0.6905422071717181,0.2702006768647774,204.0,549.0,-3.75
3,-3.024897139509873,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.39555001168497667,0.7049865847637052,0.27496982171756085,213.33333333333334,561.0,-3.02
4,-2.612912536390759,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3924166242786448,0.6836502280008089,0.27524177103088987,224.0,589.0,-2.61
5,-1.765096641707153,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3858763424130427,0.6672933945118414,0.2714544506060563,199.0,532.3333333333334,-1.77
6,-1.499465252443077,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3844539057882686,0.6452167795019951,0.2739161072834681,204.0,537.6666666666666,-1.50
7,-1.4240341786501625,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3740522177631096,0.6299781849876619,0.26604972881006494,181.33333333333334,499.0,-1.42
8,-1.288623448683365,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.37227342628738586,0.6241608952494544,0.2652459813019864,162.66666666666666,450.0,-1.29
9,-1.1847109906084503,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.37035104143488046,0.6035571018464785,0.26726943647439755,175.66666666666666,475.3333333333333,-1.18
10,-1.1362242087070311,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.37588676419461137,0.6044114346984094,0.27276678471673715,186.66666666666666,497.6666666666667,-1.14
11,-0.5936324161746844,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.37105380930073056,0.5544537208235388,0.2789830870471676,174.66666666666666,448.3333333333333,-0.59
12,-0.5857310212510374,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.36707982166854786,0.5609840634964622,0.2728930036733686,160.33333333333334,427.0,-0.59
13,-0.5386252075774793,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.37925646906169264,0.5561110202055104,0.28787007390580904,181.33333333333334,446.0,-0.54
14,-0.5112651890457984,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3741388478598382,0.558714196003191,0.28129991928525705,171.0,437.0,-0.51
15,-0.49727054901116485,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3668020803925442,0.543972641136521,0.27674954372523175,175.33333333333334,458.3333333333333,-0.50
16,-0.46252879311056194,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3858959965461346,0.5431880305880052,0.29945050501387843,163.33333333333334,380.6666666666667,-0.46
17,-0.2844991471439764,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3742774287818961,0.5213378586192845,0.2923657895728226,154.0,372.3333333333333,-0.28
18,-0.26114502144885465,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.39012878235140386,0.5527091948994813,0.30148520822145874,158.0,366.0,-0.26
19,-0.24267253765278562,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.38305009225288583,0.5377639973593129,0.29750112518460364,194.66666666666666,459.3333333333333,-0.24
20,-0.190813787809319,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.39618053808545395,0.5430511224050519,0.3126814658577927,167.66666666666666,371.6666666666667,-0.19
21,-0.02747449969686455,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3836633063951827,0.5403570196024826,0.2976246708808592,148.0,349.3333333333333,-0.03
22,0.1608518437178521,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.4231239041285871,0.5212387771937794,0.3564134998653705,171.0,308.0,0.16
23,0.18729396338252924,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3983824737294775,0.5193337660448464,0.3232731955239287,167.33333333333334,350.0,0.19
24,0.19600864948208363,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.4206776655988927,0.5197947123352664,0.3555191963534716,192.66666666666666,356.0,0.20
25,0.524031393562379,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.392148756959448,0.48869014269694944,0.32749592791329984,167.33333333333334,343.3333333333333,0.52
26,0.5579772896744846,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.436272906593219,0.47639402042855156,0.40800378580550994,123.66666666666667,186.66666666666666,0.56
27,0.6620147790892854,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.48893542691227343,0.5032238983466967,0.4755504030306488,162.33333333333334,179.33333333333334,0.66
28,1.0327392831379607,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7070559463875695,0.5521610955569718,0.9828915236965727,152.33333333333334,2.6666666666666665,1.03
