,e_i_weight,background_activity,i_e_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous
0,-1.176122620727969,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.34115939598046596,0.708420065709185,0.22543915735630637,226.0,809.0
1,-0.27099660100276335,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.309409598736021,0.6950478502502051,0.19901147867802446,214.66666666666666,861.3333333333334
2,-0.22780806110733742,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3117181604811042,0.6969661993959186,0.2007831069259577,209.33333333333334,829.6666666666666
3,0.286827241411987,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.33987718273349615,0.6953445450178556,0.2260946070312391,208.66666666666666,731.0
4,0.3864325501584318,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3062217738602289,0.6912220042303009,0.19669391935230293,186.33333333333334,759.0
5,0.6976377397191031,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.31580010987269,0.6667227119694003,0.20692445622499758,183.33333333333334,700.3333333333334
6,0.8021026868170802,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.329241918266048,0.6740794842775334,0.2178231324467118,203.33333333333334,729.3333333333334
7,0.9105101043417321,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3248446067596535,0.6524431015224769,0.21633831267506887,183.33333333333334,662.6666666666666
8,1.115761349130934,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.33311675100581506,0.6414586439682363,0.22500224682081194,185.33333333333334,637.0
9,1.1591476856455865,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3664010046611071,0.6265226060286552,0.2621095552484421,163.0,492.3333333333333
10,1.18208955012393,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.34940667166834705,0.6371983806838749,0.24072542702668995,212.33333333333334,669.6666666666666
11,1.4933942999257668,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3981968652797056,0.6466337291575153,0.28788545047657366,198.66666666666666,488.6666666666667
12,1.5618787173854192,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3937549741391248,0.6438366145198714,0.28361759944802695,198.33333333333334,500.6666666666667
13,1.5762294127748233,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.395982446703307,0.639967930933581,0.28722123778880115,177.0,447.3333333333333
14,1.7537675447008039,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.43909147353276595,0.6538424331221181,0.3305630483205417,182.0,368.6666666666667
15,2.0232072620758736,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.5507254623452578,0.6668671919164174,0.4695433565402605,198.33333333333334,225.0
16,2.1761481718451945,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.550212256912257,0.6682617973092656,0.46775375449396434,195.66666666666666,223.33333333333334
17,2.332957093580749,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.624035328307864,0.719817701501408,0.5508492467895296,235.66666666666666,192.0
18,2.355001544647917,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.6202881480340663,0.708656234666395,0.5525559094720089,213.33333333333334,174.33333333333334
19,2.403974728085049,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.6424354909429767,0.7178393703992793,0.5815413907482987,202.33333333333334,147.0
20,2.4770250302216126,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.6330760318103411,0.7108326989162425,0.5707030907976535,212.0,158.0
21,2.636789448839478,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.699045958487189,0.750649438380953,0.6543110146558423,249.33333333333334,132.33333333333334
22,2.848560540967406,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7389782404291539,0.7870406450213503,0.6973722855195249,244.33333333333334,106.0
23,2.99791583635084,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7776475221758928,0.8070579139444733,0.752269219935583,246.66666666666666,81.0
24,3.0028377565975126,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.8130165236795256,0.8138085558272224,0.8123957279995957,237.33333333333334,54.666666666666664
