,mu,sigma
background_activity,14.877670415476988,2.975534083095398
i_e_weight,17.053340759864533,3.4106681519729065
e_i_weight,2.5473723291123207,0.5094744658224641
e_e_max_weight,11.777008886327712,2.3554017772655427
i_frequency,19.025346499760037,3.8050692999520077
cue_percentage,100.0,20.0
cue_length,1.0,0.2
num_attractors,3.0,0.6000000000000001
attractor_size,64.0,12.8
network_size,256.0,51.2
num_cues,10.0,2.0
