,i_e_weight,background_activity,e_i_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
0,6.821336303945813,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6583403658788946,0.4921659750521419,0.9959903677957245,243.0,1.0,6.82
1,7.460836582440733,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6807302443235238,0.518024035965945,0.9927731647168617,231.66666666666666,1.6666666666666667,7.46
2,8.100336860935652,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7311202087411098,0.5794383275014582,0.9925848392924084,217.33333333333334,1.6666666666666667,8.10
3,8.739837139430573,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7928453600473916,0.6610378098436184,0.9933293933523766,196.0,1.3333333333333333,8.74
4,9.379337417925493,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7554057223657654,0.6101909656920165,0.9938605159689661,211.0,1.3333333333333333,9.38
5,10.018837696420412,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.77894255380228,0.6439556664854108,0.9924532031456348,214.33333333333334,1.6666666666666667,10.02
6,10.23200445591872,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.800273510625984,0.6717075020158365,0.9918193481248462,201.66666666666666,1.6666666666666667,10.23
7,10.658337974915334,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.8017946364539119,0.6714123197799392,0.996741456310903,204.83333333333334,0.6666666666666666,10.66
8,11.084671493911946,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.796604513219452,0.6649616492119098,0.9938330769973772,210.66666666666666,1.3333333333333333,11.08
9,11.297838253410253,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7885019025274295,0.6557058143223188,0.9920203617406367,210.0,1.6666666666666667,11.30
10,11.511005012908559,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.819346237476774,0.6976952439301233,0.9924987833005354,176.66666666666666,1.3333333333333333,11.51
11,11.937338531905173,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.8362307343829903,0.7233618723334833,0.9921278796257819,191.5,1.5,11.94
12,12.363672050901787,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.839796686295336,0.7297618614502989,0.9897297131537869,188.33333333333334,2.0,12.36
13,12.576838810400092,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.8478205911679432,0.739082219163714,0.994475138121547,184.0,1.0,12.58
14,12.7900055698984,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.8556375147750935,0.7540575840190948,0.9889706996333666,183.66666666666666,2.0,12.79
15,13.216339088895012,14.87767041547699,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.856460496447733,0.7558033881842846,0.9889189589606534,169.16666666666666,1.8333333333333333,13.22
