,background_activity,i_e_weight,e_i_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
0,6.629641700867856,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.08212578237543135,0.04288577768974574,1.0,14.666666666666666,0.0,6.63
1,7.132055883135898,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.15533805047877222,0.08429365569736176,1.0,24.0,0.0,7.13
2,8.088643857817075,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.4301652166373902,0.2769193067452261,0.991423763773544,76.33333333333333,0.6666666666666666,8.09
3,8.097557018326862,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.3630499884032827,0.22364987651603116,1.0,61.333333333333336,0.0,8.10
4,8.986603348167428,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.5290200232070176,0.3614309552079024,0.9875715922107675,107.33333333333333,1.3333333333333333,8.99
5,9.372253752251677,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.557641884793906,0.38664788579162734,1.0,123.0,0.0,9.37
6,9.465706853983988,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.5989151148896296,0.4287312656231506,0.9948717948717949,112.66666666666667,0.6666666666666666,9.47
7,9.814850365609269,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6092937176171791,0.4391513342594979,0.9950686028314589,137.66666666666666,0.6666666666666666,9.81
8,11.259024301645514,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6641029388238457,0.5008949377508919,0.9854521610060111,141.0,2.0,11.26
9,11.431955761054168,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6533778571618689,0.48724598182774576,0.9918550585217253,122.66666666666667,1.0,11.43
10,11.814291025943913,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6656637900013386,0.5051043105046831,0.9765426762218935,147.0,3.3333333333333335,11.81
11,11.846820113966348,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.64266445051326,0.4773314561497868,0.9839132791327914,129.0,2.0,11.85
12,11.905557142175613,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6745610056367619,0.5102572187390897,0.9954474386093994,141.0,0.6666666666666666,11.91
13,11.940912799506098,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6843905183694936,0.5233793141437779,0.9891072993614624,144.33333333333334,1.6666666666666667,11.94
