,e_e_max_weight,background_activity,i_e_weight,e_i_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
0,6.9376315425524275,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6594561740273585,0.4937548695088651,0.9927356052849691,145.66666666666666,1.0,6.94
1,8.423048208887318,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6570036924894885,0.49318043181263915,0.9849050731403673,137.33333333333334,2.0,8.42
2,8.851610393433068,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6576637272997997,0.4902645058935556,1.0,152.66666666666666,0.0,8.85
3,8.881808040259733,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6619758519156761,0.4956717728253343,0.9971751412429378,148.0,0.3333333333333333,8.88
4,9.009308453542623,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6735498251742165,0.5123595529654787,0.9838151186656415,162.0,2.6666666666666665,9.01
5,9.186201025708513,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6727174295349533,0.5089030739611373,0.9935064935064934,165.0,1.0,9.19
6,9.188225613711865,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6897309396312669,0.5308775498600429,0.984990317620336,134.0,2.0,9.19
7,9.51006562353629,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6735035829489631,0.5099411741909777,0.9961013645224172,167.66666666666666,0.6666666666666666,9.51
8,10.338832749396051,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6548704728032556,0.4880957138349584,0.9949695094366936,142.66666666666666,0.6666666666666666,10.34
9,10.400736458784497,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6729949298083345,0.5088278326590373,0.993695115837666,157.66666666666666,1.0,10.40
10,10.511544139644567,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6616123234410897,0.49504338125034925,0.9975124378109452,154.0,0.3333333333333333,10.51
11,10.631297098401708,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6593924132212335,0.4923978811432789,0.9979919678714859,154.33333333333334,0.3333333333333333,10.63
12,10.976751337690388,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6767004895247211,0.5123634717777641,0.9962433862433863,169.0,0.6666666666666666,10.98
13,11.182962183201955,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6644431450486574,0.5039071638072109,0.9778762008158969,145.0,3.3333333333333335,11.18
14,11.239836387504067,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6719911950567689,0.5075632945445931,0.9976689976689976,152.33333333333334,0.3333333333333333,11.24
15,11.261212555822079,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.669548579383085,0.5057385141979646,0.9911964785914366,148.66666666666666,1.3333333333333333,11.26
16,11.551872995108356,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6720717965390387,0.5079182408600517,0.9965457685664939,176.33333333333334,0.6666666666666666,11.55
17,11.662180995765045,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.677801925065288,0.5145276928725436,0.997289972899729,149.33333333333334,0.3333333333333333,11.66
18,11.676219149375672,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6621476817937167,0.49688052928390053,0.9938364537090653,150.33333333333334,1.0,11.68
19,11.779605246831746,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.683941913274011,0.5217797991036881,0.9933729052752293,153.0,1.0,11.78
20,11.819733599620342,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6762832611893792,0.5127865329778855,0.9934446505875076,163.33333333333334,1.0,11.82
21,11.930190143836189,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6539151984379188,0.48876123476191097,0.9911310808628108,144.33333333333334,1.3333333333333333,11.93
22,12.009385313805724,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6611113050218481,0.4952391376665341,0.9955093429776974,140.33333333333334,0.6666666666666666,12.01
23,12.042031746498651,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6708644309736688,0.506569806128614,0.9930870163428303,147.33333333333334,1.0,12.04
24,12.06430785972333,13.855558143033827,5.302236785709991,4.253159333783978,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6761890923741677,0.5119215929633468,0.9969135802469135,142.0,0.3333333333333333,12.06
