,background_activity,e_e_max_weight,e_i_weight,i_e_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous
0,8.145082889922996,14.62960878573175,3.033266189627541,11.025868457413534,7.812678766912098,100.0,1.0,3.0,64.0,256.0,10.0,0.003907513543183015,0.0019652757842058186,0.3333333333333333,0.3333333333333333,0.0
1,10.231486746739389,8.149514088295984,1.096556529521969,10.41548841300981,8.698498049068334,100.0,1.0,3.0,64.0,256.0,10.0,0.22120538613155136,0.12521768982821357,0.9583333333333334,19.666666666666668,0.6666666666666666
2,11.005956239298023,13.116100832393053,7.633040875818912,10.731228946277877,2.718766455658285,100.0,1.0,3.0,64.0,256.0,10.0,0.5767196010156241,0.40529090928349226,1.0,67.33333333333333,0.0
3,11.969027595175255,13.668598165848106,10.796229955321907,13.341601186796716,12.636166387234255,100.0,1.0,3.0,64.0,256.0,10.0,0.012186948897898515,0.0061644099743772135,0.6666666666666666,0.6666666666666666,0.0
4,12.646892000009125,16.87728021391191,6.041967637199033,7.323114077530778,17.41353237074309,100.0,1.0,3.0,64.0,256.0,10.0,0.3922714641617448,0.24732339359795139,1.0,36.666666666666664,0.0
5,13.183469265648252,16.054375050065048,3.284332280071741,9.747746360464534,12.605517985132495,100.0,1.0,3.0,64.0,256.0,10.0,0.7143110080478842,0.5582208105692043,0.9929078014184397,86.33333333333333,0.6666666666666666
6,13.363766792054282,18.72240658399988,6.7031510745289005,10.019899863034638,11.97605807440107,100.0,1.0,3.0,64.0,256.0,10.0,0.7001756530311156,0.5455022797490142,0.9867296992009371,80.0,1.0
7,13.562460958906385,14.721272988365902,9.361884331491819,7.027161889313839,6.5862453638707255,100.0,1.0,3.0,64.0,256.0,10.0,0.8235449026509092,0.700142965265696,1.0,105.33333333333333,0.0
8,13.704005322449776,16.448885267548484,10.48002727757224,3.502183293760197,9.765086402156607,100.0,1.0,3.0,64.0,256.0,10.0,0.8356919725236911,0.7179408182810847,1.0,99.66666666666667,0.0
9,14.311689242891955,12.088795122292549,10.225536963917449,9.113642771574947,10.769290594089703,100.0,1.0,3.0,64.0,256.0,10.0,0.3630582819068886,0.2227927257070296,1.0,32.666666666666664,0.0
10,14.675645546373064,15.270284535425308,11.864813247989321,10.354430437907832,8.81895130178075,100.0,1.0,3.0,64.0,256.0,10.0,0.042811343216585945,0.02199544974341187,1.0,3.6666666666666665,0.0
11,15.0,10.0,3.0,10.0,20.0,100.0,1.0,3.0,64.0,256.0,10.0,0.5231466461175537,0.3557975357890599,0.9952380952380953,54.0,0.3333333333333333
12,15.005465127689764,11.377850442817715,3.5187859881459156,10.30379265080225,8.072502729113133,100.0,1.0,3.0,64.0,256.0,10.0,0.6569750900034611,0.6959441856236013,0.6224976733737685,96.66666666666667,59.0
13,15.191787397865083,11.716412181365445,6.172341509652978,8.965729626944439,10.26625986915738,100.0,1.0,3.0,64.0,256.0,10.0,0.8389544986902454,0.7838411636874607,0.9030071682291556,130.33333333333334,13.0
14,15.674202669616518,8.995625428163589,3.4174663561234855,10.163660710843992,5.1451628561743625,100.0,1.0,3.0,64.0,256.0,10.0,0.5504996425955407,0.6932970365449878,0.4567939992436267,101.33333333333333,121.33333333333333
15,16.05326224367019,16.87423747421244,3.552489708516182,7.839959004520963,11.58261189657572,100.0,1.0,3.0,64.0,256.0,10.0,0.5504701019383477,0.6400134639740295,0.48303212254523115,90.66666666666667,97.0
16,16.34989654500946,17.103096252926782,1.7453745009360881,5.970455197034341,7.311581062518147,100.0,1.0,3.0,64.0,256.0,10.0,0.4286361291626903,0.7728018074432557,0.29657202348991224,109.66666666666667,260.0
17,16.865976065318012,12.6456103557812,8.671750582703691,7.7705583785659655,11.577980322483516,100.0,1.0,3.0,64.0,256.0,10.0,0.43633065533341187,0.30390255129582094,0.7862012987012988,47.333333333333336,14.0
18,18.889391216566317,13.18151121800964,3.596562521716022,13.735265518121222,9.137250380686083,100.0,1.0,3.0,64.0,256.0,10.0,0.4724158242433281,0.6554072508425882,0.3693269450962548,109.33333333333333,186.33333333333334
19,20.057281881497154,18.45934288912393,11.06515873636409,9.911763853206574,10.659306857462163,100.0,1.0,3.0,64.0,256.0,10.0,0.0,0.0,0.0,0.0,0.0
20,21.53053776857621,17.21113032510585,9.614971231245992,13.160935417567364,12.594832487134559,100.0,1.0,3.0,64.0,256.0,10.0,0.005435364644609908,0.0027627316846691365,0.16666666666666666,0.3333333333333333,0.6666666666666666
