,i_e_weight,background_activity,e_i_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous
0,-3.615593785926918,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.0010403361426656506,0.0005217966029282647,0.16666666666666666,0.3333333333333333,1.6666666666666667
1,-2.303114765121343,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.003330551240322527,0.0016906136595545738,0.1111111111111111,0.3333333333333333,2.3333333333333335
2,-1.3472481277794746,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.0,0.0,0.0,0.0,3.0
3,-1.1820088880071733,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.0,0.0,0.0,0.0,2.6666666666666665
4,-0.8128374122435611,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.0,0.0,0.0,0.0,2.3333333333333335
5,-0.5753173491502572,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.0030015888749412253,0.0015075821501856987,0.3333333333333333,0.3333333333333333,1.3333333333333333
6,-0.1408477744794565,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.0,0.0,0.0,0.0,9.0
7,0.24226539314715723,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3551807362062962,0.6145762864282939,0.25007718019162467,193.33333333333334,589.0
8,0.3141626650657141,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3644075795655613,0.5893379463310117,0.2650455214232972,182.0,522.6666666666666
9,0.45522715268443203,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.4609143816460232,0.6525093417573132,0.35667117761487105,191.33333333333334,345.0
10,0.4775657756631482,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.48512821484630003,0.6727842559426955,0.3808784066169808,218.0,364.6666666666667
11,0.7486422759402611,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.6328615550977817,0.7310612572700106,0.5585517586561973,205.0,164.0
12,0.8006803699593155,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.627358362278795,0.7343936566433805,0.5476543928206218,224.0,185.66666666666666
13,1.0778108447158044,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.6943818082592581,0.7588939711226917,0.640253137850006,224.66666666666666,126.0
14,1.2707951534936592,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7406335250664479,0.7988099235094074,0.6904399316098738,223.66666666666666,101.66666666666667
15,1.2763983522751627,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.742282292556661,0.7975490892301492,0.6955852186552464,247.66666666666666,107.33333333333333
16,1.3113575861763938,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7339842953491251,0.802786850069715,0.6763108717782939,234.33333333333334,112.0
17,1.3261978385504616,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7390217528730281,0.7995873664353669,0.6871500579019617,253.33333333333334,116.33333333333333
18,1.3671502344990665,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7506641249735154,0.8032580486978796,0.7053480405129751,235.0,99.66666666666667
19,1.4389313342354226,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.8224573059024253,0.8355295454901764,0.8111435631163034,230.66666666666666,58.666666666666664
20,1.5698050932433922,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7915719062777566,0.8216853375030264,0.7639069394304051,226.0,70.33333333333333
21,1.6172517713577839,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7714223193592743,0.8261287233886686,0.7238677906041775,242.66666666666666,92.0
22,1.8128413169017952,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9000300938319903,0.9046624959265159,0.8961009197892852,252.0,29.666666666666668
23,1.8500466973457268,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.8895229822941557,0.8991141482534845,0.8804896170173823,266.3333333333333,38.666666666666664
24,1.8581789748538142,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.8501213278588206,0.8827616534141761,0.8201866046324762,241.0,52.333333333333336
