,i_frequency,background_activity,i_e_weight,e_i_weight,e_e_max_weight,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous
0,2.099457581951719,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0552366376949336,1.1347505988826636,0.9862854146152067,277.3333333333333,3.6666666666666665
1,3.1298121991636343,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0445111884506577,1.1126544870137032,0.984507145833844,341.0,5.333333333333333
2,3.558864004671073,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0319860791592614,1.1167529705022992,0.9594107036031815,337.0,14.666666666666666
3,3.854468872078826,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0155836173040675,1.0784246851935986,0.9597234925127328,337.0,14.666666666666666
4,4.264687732182265,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0472584939654435,1.1120266828693817,0.989732726243762,293.3333333333333,3.0
5,4.3581082201797,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0430248887596543,1.1133413673932495,0.9811965380258577,356.6666666666667,7.333333333333333
6,4.386971135493807,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9903602365852114,1.0804989305351815,0.9141967345438876,327.3333333333333,30.666666666666668
7,4.926992295236522,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0495436875774513,1.110656802029003,0.9949671078000742,344.6666666666667,1.6666666666666667
8,5.634846171941464,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0365764462559242,1.0827988993652475,0.9942987526026018,294.6666666666667,1.6666666666666667
9,5.767751939418703,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0311805350295205,1.0784522483361754,0.9878801811127554,343.0,4.333333333333333
10,6.013670857336677,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0349864357055443,1.0796434575257834,0.9939434392624126,344.0,2.0
11,6.246413008951345,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0528678438956705,1.115025645391716,0.997289972899729,357.3333333333333,1.0
12,6.366951130111691,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0067780039403806,1.046009031286231,0.9704868439566624,356.6666666666667,12.0
