Unnamed: 0,score,params,iteration,recall,accuracy,triggered,spontaneous
1615,0.9824198561048184,"{'attractor_size': 64, 'background_activity': 13.797270672690686, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.951626490774657, 'e_i_weight': 4.735130563286112, 'i_e_weight': 5.00773720697792, 'i_frequency': 10.514499371802138, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1615,0.9711121559907279,0.993993993993994,331,2
924,0.9820735221137248,"{'attractor_size': 64, 'background_activity': 15.0612124704105, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.301639242421544, 'e_i_weight': 4.340294111961547, 'i_e_weight': 5.685716507516808, 'i_frequency': 10.399354834718102, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",924,0.9703177423427907,0.9941176470588236,338,2
1598,0.9779814561525545,"{'attractor_size': 64, 'background_activity': 13.620828126551404, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.478861613915836, 'e_i_weight': 4.295277065405446, 'i_e_weight': 6.066715313459237, 'i_frequency': 10.011547449699354, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1598,0.9569116549205545,1.0,299,0
1553,0.9795677934588434,"{'attractor_size': 64, 'background_activity': 14.811213568655763, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 8.702433719983036, 'e_i_weight': 4.369883662513501, 'i_e_weight': 6.888299069203056, 'i_frequency': 10.003919740725616, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1553,0.9629947083947197,0.99672131147541,304,1
806,0.9779094721371032,"{'attractor_size': 64, 'background_activity': 12.636870438220065, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.724314817943032, 'e_i_weight': 4.7312772809126145, 'i_e_weight': 5.846058419223132, 'i_frequency': 10.644661505497542, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",806,0.9596341222693774,0.9968944099378882,321,1
1681,0.9758945350852294,"{'attractor_size': 64, 'background_activity': 13.235953397286066, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.849289184976966, 'e_i_weight': 4.832584464463699, 'i_e_weight': 5.2761293298962375, 'i_frequency': 10.027115445994284, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1681,0.9529238623547883,1.0,262,0
1603,0.9777941486395952,"{'attractor_size': 64, 'background_activity': 13.990088956672176, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.57745499455242, 'e_i_weight': 4.549656759155665, 'i_e_weight': 5.252068418476365, 'i_frequency': 10.561367441485844, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1603,0.9598439035118211,0.9964285714285714,279,1
606,0.9774233680085075,"{'attractor_size': 64, 'background_activity': 13.240645826286817, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.25945575028731, 'e_i_weight': 4.878328509096081, 'i_e_weight': 5.7054956706329065, 'i_frequency': 10.015104571545617, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",606,0.9586631211693706,0.9969325153374232,325,1
1082,0.9787194227094341,"{'attractor_size': 64, 'background_activity': 12.7394415533904, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.202064059138467, 'e_i_weight': 5.142222079133399, 'i_e_weight': 5.274344634217735, 'i_frequency': 10.516228911073622, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1082,0.9641924312153106,0.9936908517350158,315,2
917,0.9769073401097412,"{'attractor_size': 64, 'background_activity': 12.689057346629617, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.821272762304456, 'e_i_weight': 5.006196374828696, 'i_e_weight': 5.267660712804339, 'i_frequency': 10.557143168836932, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",917,0.9578958653908198,0.9966887417218544,301,1
