,background_activity,i_e_weight,e_i_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
0,7.431043765491575,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.22585290879486333,0.1276523431377371,1.0,37.333333333333336,0.0,7.43
1,8.328085893082951,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.48357947497240655,0.32091122975820574,0.9891525440067866,94.66666666666667,1.0,8.33
2,8.816263528825873,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.5348156574347104,0.36626749438636047,0.9969418960244649,129.33333333333334,0.3333333333333333,8.82
3,9.084196751922168,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.5461252793470234,0.3776837991054112,0.9889823717948718,112.33333333333333,1.3333333333333333,9.08
4,9.50733070716625,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.5938727239163101,0.4227792961451142,0.9976190476190476,129.0,0.3333333333333333,9.51
5,9.555502426700931,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6038804203072786,0.4350506304313006,0.9874157294900138,128.0,1.6666666666666667,9.56
6,9.584803714538843,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6208975717868773,0.45187519338246734,0.9922377900872524,130.66666666666666,1.0,9.58
7,9.841597618175,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6349400132545964,0.4675550700366038,0.9904409497378971,141.33333333333334,1.3333333333333333,9.84
8,9.844812508925877,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6424661100179719,0.47558359381812326,0.9913157584335929,135.0,1.3333333333333333,9.84
9,9.872795245412629,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6285359691975058,0.4607921028649626,0.9893714709962292,132.33333333333334,1.3333333333333333,9.87
10,9.972977049711325,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6537770294930104,0.48733975938975416,0.9928966834860139,145.33333333333334,1.0,9.97
11,10.034323942007894,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6461250380685607,0.4797551594366734,0.9900705558423679,140.33333333333334,1.3333333333333333,10.03
12,10.085420184281563,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6484349372137627,0.4824370517613555,0.9886687934599733,145.66666666666666,1.6666666666666667,10.09
13,10.432633711772514,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6571026185784109,0.4932436612749212,0.9842194570135746,151.0,2.3333333333333335,10.43
14,10.502756706174843,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6707440500159927,0.5077615363163378,0.9879543555506437,146.33333333333334,1.6666666666666667,10.50
15,10.613580999799979,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6514358971923205,0.4856113877047104,0.9899614820874664,129.0,1.3333333333333333,10.61
