,i_e_weight,background_activity,e_i_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous
0,2.226912568077431,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9063287965220796,0.920448659599968,0.8928537868371141,259.0,30.333333333333332
1,2.3755768497564644,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.974592069651456,0.9742054917114564,0.9751203556028117,289.0,7.333333333333333
2,2.6780907270203995,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9809361484422836,0.977402921710714,0.9845565920199527,301.3333333333333,4.666666666666667
3,2.8120857153257965,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.973978375847973,0.9829455308855087,0.965401258938872,306.0,11.0
4,3.606651651647188,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.995935120321846,1.0028888182384412,0.989086858287735,298.0,3.3333333333333335
5,3.89195297082975,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9989852160045389,1.0009903800117197,0.9972855421875244,338.0,1.0
6,4.394147204334475,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9955265469528931,0.9976625707800829,0.9934627407150627,299.0,2.0
7,4.6923507132800975,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,1.0007284543974309,1.0062050150897013,0.9955410036664706,303.3333333333333,1.3333333333333333
8,5.011403421477593,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9960546165688101,0.9958987455034615,0.9962423117516468,274.6666666666667,1.0
9,6.30789623547677,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9622043854186284,0.9336361634905889,0.9927649193470042,275.0,2.0
10,6.679697372601154,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9872847617536444,0.9791936014501083,0.9956140350877193,308.6666666666667,1.3333333333333333
11,6.766292952562454,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9282036860763659,0.8706791869351983,0.9951759092059005,255.66666666666666,1.3333333333333333
12,7.081847154926269,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9354203623495682,0.8828048254831623,0.9952505361369748,286.6666666666667,1.3333333333333333
13,7.1508370070029255,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9352644317396903,0.8849422030970864,0.9925353845390026,263.3333333333333,2.0
14,7.516680495434588,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9173463204867005,0.8506561608640192,0.9973581563039052,244.33333333333334,0.6666666666666666
15,8.728900502247516,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.8823717540072925,0.7971770926236553,0.9883028249434003,253.0,3.0
16,8.765689944997396,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.8794226298467751,0.7872932319436684,0.9968954766434157,237.0,0.6666666666666666
17,8.78536836528027,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.8759534177194195,0.784813771916634,0.9928266696870164,234.0,1.6666666666666667
18,9.322687317665022,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.8474284399150126,0.7438487194505545,0.9883041757688042,206.66666666666666,2.3333333333333335
19,10.783075817578407,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7785133845957425,0.6399983202260725,0.9938601081458224,206.33333333333334,1.3333333333333333
20,11.171110130354034,15.095621488966964,4.9317965951712415,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7452594460450112,0.5978491549994663,0.992176566407415,170.33333333333334,1.3333333333333333
