,score,true_states,pred_states,params,iteration
1513,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'two', 'B', 'B', 'A', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 2.1295507519929084, 'delay_gap_A2B': 0.17034269000465518, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -49.502586263979744, 'w_acpt': 2.278799285438282, 'w_trans': 6.11591195048552}",1513
1457,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'two', 'two', 'two', 'two', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 2.0661045354147762, 'delay_gap_A2B': 0.022987274354135404, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -47.19755770942706, 'w_acpt': 2.4868669417097404, 'w_trans': 6.63537203400185}",1457
1163,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'two', 'two', 'two', 'two', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.7961902909280036, 'delay_gap_A2B': 0.04881407475338099, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -46.94614034148687, 'w_acpt': 1.6609851987973083, 'w_trans': 8.515739909338286}",1163
836,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'B', 'two', 'two', 'two', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.8440863342476472, 'delay_gap_A2B': 0.05016999472352412, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -45.434013951315855, 'w_acpt': 2.676374022314487, 'w_trans': 5.14790973935654}",836
542,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'B', 'A', 'two', 'A', 'B']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.8564589163484375, 'delay_gap_A2B': 0.007671461632129735, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -47.30397618858425, 'w_acpt': 2.3606831723403663, 'w_trans': 7.329574382355873}",542
1753,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'two', 'B', 'B', 'B', 'B']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 2.1006940775779777, 'delay_gap_A2B': 0.009917832596525233, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -47.447557916294464, 'w_acpt': 1.8518823823596375, 'w_trans': 5.408355863947924}",1753
1695,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'two', 'two', 'two', 'two', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.6250031656293318, 'delay_gap_A2B': 0.24804440621103027, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -45.99213880877979, 'w_acpt': 1.8154785178051842, 'w_trans': 7.974506421609645}",1695
1177,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'B', 'A', 'two', 'two', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.9559515890981765, 'delay_gap_A2B': 0.1552345053918069, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -48.555777375872516, 'w_acpt': 3.0055575784491397, 'w_trans': 7.0384919998180004}",1177
1854,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'B', 'two', 'two', 'B', 'A']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.9985225259511972, 'delay_gap_A2B': 0.15873763435897717, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -48.650568780050314, 'w_acpt': 2.8626117660345978, 'w_trans': 7.066521609684896}",1854
1489,0.375,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'two', 'two', 'two', 'A', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 2.612799889569751, 'delay_gap_A2B': 0.1090888825510547, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -48.08736490897483, 'w_acpt': 2.1487117878481494, 'w_trans': 7.343902550211621}",1489
