,i_e_weight,background_activity,e_i_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
0,-0.987055011779268,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.003521012759783807,0.0017746679909422184,0.2222222222222222,0.6666666666666666,2.3333333333333335,-0.99
1,-0.0253385861729436,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.3051554658215728,0.6957718565444938,0.19544924352190818,212.66666666666666,875.3333333333334,-0.03
2,0.24533110855094442,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.3591993552533359,0.592307878956046,0.2579553051367505,176.33333333333334,512.3333333333334,0.25
3,0.28451000596544596,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.3413382888095466,0.5639879272829544,0.2458229402723572,162.66666666666666,506.6666666666667,0.28
4,0.6989883298245667,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.7379987498618436,0.6987049200967282,0.7895531858904284,214.66666666666666,71.0,0.70
5,1.226681762388508,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8460177353509689,0.7364724940497464,0.9939806487025056,264.0,1.6666666666666667,1.23
6,1.2306444446718787,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8460931025311437,0.7349500782234472,0.9969527467022875,222.0,0.6666666666666666,1.23
7,1.6366898518201531,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8340084981573866,0.7189326208368767,0.9930400325137168,221.66666666666666,1.6666666666666667,1.64
8,1.6467525332130952,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8396126563288778,0.7276552291050572,0.9923331586212013,230.66666666666666,1.6666666666666667,1.65
9,1.7083538680493615,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8316195845629711,0.7168272813664406,0.9903012048192771,184.66666666666666,1.6666666666666667,1.71
10,1.7858354665565468,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8359700453765019,0.7241937408719065,0.988735447558977,203.66666666666666,2.3333333333333335,1.79
11,1.8099611061100047,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8309754796503639,0.7132729319173375,0.9952542372881356,223.33333333333334,1.0,1.81
12,1.8750140617776316,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8270521639271298,0.7080377559588906,0.9942070869080796,224.33333333333334,1.3333333333333333,1.88
13,1.876104225148325,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8210970307805371,0.699551369382013,0.9938199827734712,196.66666666666666,1.3333333333333333,1.88
14,1.908370467662432,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8388306835786689,0.727412797965684,0.990660465787007,208.33333333333334,2.0,1.91
15,1.9352636608109863,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8371944230124377,0.7246684839175276,0.9911533158259099,225.33333333333334,2.0,1.94
16,1.9548588518088463,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8281444089952186,0.710713486946155,0.9922961915231281,220.66666666666666,1.6666666666666667,1.95
17,1.969455757325794,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.826861442402227,0.7112566718505202,0.987399519735014,211.66666666666666,2.6666666666666665,1.97
18,2.004352576845614,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8257641083769155,0.7056896194584331,0.9950982811086438,192.0,1.0,2.00
19,2.029802493179607,13.855558143033827,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.8303737343713545,0.7138858779987892,0.9925903371053774,212.0,1.6666666666666667,2.03
