,i_frequency,background_activity,i_e_weight,e_i_weight,e_e_max_weight,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
0,10.043049318083762,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.9134516740628761,0.8460537984799409,0.9925301945633224,227.66666666666666,1.6666666666666667,10.04
1,10.339820667000858,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.9098171792201343,0.8399526004939935,0.9925147288962534,241.33333333333334,1.6666666666666667,10.34
2,12.64276288640302,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8739609211791759,0.7793506336084093,0.994718954248366,245.0,1.3333333333333333,12.64
3,12.889234149375477,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8507210764726704,0.7436549152471539,0.9938869193709663,240.0,1.3333333333333333,12.89
4,13.01386170417323,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8634370529166233,0.7636092988284576,0.9934067526445443,200.33333333333334,1.3333333333333333,13.01
5,13.093208917596598,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8400189843418993,0.7269090077199305,0.9950486924171135,193.0,1.0,13.09
6,13.439208740928349,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8421958936695119,0.7292427928655493,0.9969069507689664,212.66666666666666,0.6666666666666666,13.44
7,13.719308431673959,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8381974292643597,0.725560552613488,0.9947101449275362,197.66666666666666,1.0,13.72
8,13.719972627037574,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8193332892684536,0.6970494321541661,0.993814750780695,204.66666666666666,1.3333333333333333,13.72
9,14.082238363784757,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8170239270356153,0.694489306771192,0.9926293221893951,225.33333333333334,1.6666666666666667,14.08
10,14.224071884088058,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8123346505424465,0.6905712973609434,0.9882099547111802,206.66666666666666,2.3333333333333335,14.22
11,15.083767076240587,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8096720275928456,0.6816587348493847,0.9969696969696971,202.66666666666666,0.6666666666666666,15.08
12,15.184188219551647,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.7944962276087043,0.6612318515906686,0.9950410070570285,200.66666666666666,1.0,15.18
