background_activity,e_e_max_weight,e_i_weight,i_e_weight,i_frequency
15.095621488966966,14.531800821256894,4.9317965951712415,5.011403421477593,10.003928854474928
15.632202529590902,13.900105197486578,4.245455272802647,5.758368717033229,10.035978631142301
15.409038090400344,14.895639530103248,4.352672692382085,5.004350305360246,10.016292981604826
16.070722700942955,14.7646265830529,4.853311988060923,5.4263161399858895,10.029070244970221
14.476280192735189,14.307963479304668,4.390634579801441,5.000558806078147,10.002935730433437
15.194859070165075,13.552061827181875,4.851242702810443,5.283303884626037,10.006256839945197
15.796094293024666,17.464830094424435,4.207222931262108,5.31437043037997,10.030647255909228
14.87160205221977,13.596871857112893,4.61576256587763,5.512663600021501,10.00039379338751
14.849195606116044,18.348485651326754,4.93696088428086,5.008322567465112,10.001982689818517
15.067754709483976,15.234232557265491,4.945320112229301,5.004462517502132,10.001078109432015
14.857368199568512,13.493881070157705,4.801095179484031,5.301988526102628,10.01385940065243
14.527211145263514,14.047870555023136,4.6569638185366875,5.896727007468545,10.001130846275776
15.493781764976353,14.744912994111198,4.595055113976455,5.012111449788094,10.573138373622212
15.71622108985234,18.767025067242695,4.642771449673827,5.501850654264554,10.015482592859072
15.410309001589205,14.226979912195045,4.493253952692954,5.000196622491052,11.057570189048453
15.212489955761988,14.34969430947938,4.5225155873765,5.48224933353547,10.028877073623425
14.296013529483456,15.489445443646293,4.854100356791282,5.01517704492175,10.00485600339696
15.836888908880699,14.82917453522087,4.386715490343992,5.795882255249326,10.90434690565616
15.300597899237404,13.88004109422162,4.69941037657167,5.00323903266252,10.014017068797145
15.12291292749712,15.18197615283099,4.883944718140404,5.01060506985493,10.014935305705613
15.618992132589945,15.340800623159243,4.535066475918469,5.001837017398658,10.498615691205684
15.373146526830595,15.760075655963481,4.596364415373945,6.027011313629689,10.021799181743564
14.803204962314046,14.10029496415848,4.586913362199084,5.554883450970889,10.016165937488555
14.565280271143937,12.939153659522017,4.676538873710152,5.026258660295539,10.015994460893726
15.473464816071388,14.845580824838871,4.738200776233533,5.76736021494906,10.00321836705367
14.65651241846132,15.157224436280401,4.9967232629373886,5.71081518510778,10.516403858261429
15.196821632156285,14.710920844697684,4.82042998385845,5.754377572613102,10.020701286999723
15.473178564626878,14.65855545984063,4.692125761072868,5.322732485847181,10.544800602197839
14.912435953203328,14.427826601035294,5.270240146052319,5.0036735305251625,10.005362089697936
14.765874130123162,15.50510751430663,4.652457153246706,5.593455446548074,10.021042703142061
15.691152814347197,14.949404660761777,4.525955891093279,5.244564807159524,10.001365706314344
15.998574392065912,14.26308556402711,4.446748010610894,5.505305849662459,11.35782274543529
14.109730907250611,12.445304464420545,5.406321906626548,5.002860488108936,10.489353390793077
13.5303209314671,13.508198764240664,4.771923146932063,5.841295152907915,10.007955608177603
15.364893304554323,18.63275087405369,4.0396932730387505,5.718260683467714,10.0155106012848
15.577887746896668,14.753049539169838,4.2180753930436685,5.0102618074811875,10.994224532761068
15.258787866629417,15.772121149018481,4.513408912540188,5.756384343131517,10.012267853191805
15.235377374869673,13.985828111510532,4.703885381410159,5.0054784799381045,11.772604703731847
15.425256422881661,15.73171021729168,4.652527177973823,5.7559910885300125,10.039316250587545
14.529578726425953,14.2902387586112,4.72106308920185,6.024174643884259,10.009919072168255
15.53328628795064,13.650136681285678,4.329252621825447,5.0104794077524435,10.568510508866991
14.647063252834656,13.11762745624413,4.61483747880313,6.4048940725569725,10.042343926025136
14.969995002333423,16.083351886358745,4.250741632188393,6.111058293950179,10.04866334631326
13.93480328011802,17.821075096494,5.017802232499662,6.516275319669077,10.025703881650161
14.04213406906217,13.794024809855758,4.768965042840624,5.025032797067763,10.561472053795717
15.383497376827107,13.916971119020344,5.080703416941104,5.003407216625923,10.022751936678064
15.617971679744587,14.11229042322364,3.969606488065222,5.273756212494295,10.004306341356726
15.007397475781726,16.034050100616966,4.2240471015700445,5.922840093981545,10.016836784357633
15.593935019405695,16.387767199399313,4.901293869820331,5.00754197746554,10.030353919346535
15.126121114404736,14.424777248780181,4.394514859772508,5.610331547266243,11.10487545222638
14.243673997457757,12.775697154457829,5.2319677996323,5.297981611478851,10.517272825550453
15.429413807810153,14.860198700745352,4.591243297220393,5.295570519983693,10.046817040752485
