,e_e_max_weight,background_activity,i_e_weight,e_i_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous
0,4.665941855999002,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9994773045457871,1.008789286733602,0.9905005634659799,302.0,3.0
1,7.859651917322404,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,1.0020654490915561,1.008520236640809,0.9956967623964802,316.3333333333333,1.3333333333333333
2,7.960621097795947,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9898369202812494,0.9972924269460265,0.9828047683310842,295.3333333333333,5.0
3,7.997638727033015,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9890183161383496,0.9832636967807243,0.9955915023604555,292.3333333333333,1.3333333333333333
4,8.596024164240685,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9997607696718399,1.0042773370543336,0.9953375262054508,292.3333333333333,1.3333333333333333
5,8.978429949665223,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,1.0038227133582698,1.0152377474326972,0.9926928188155056,330.0,2.3333333333333335
6,9.6262108124387,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9803295967827209,0.9662896997003569,0.9950366431198243,262.6666666666667,1.3333333333333333
7,9.71035487562891,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,1.0053620730334685,1.0174767828654743,0.9935925683421233,308.0,2.0
8,10.029324984104214,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9968451177336974,1.0003695986670584,0.9941493182938049,280.0,1.6666666666666667
9,10.120118016902593,15.095621488966964,5.011403421477593,4.9317965951712415,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9887591328238692,0.9846951200283897,0.9928646498695203,290.3333333333333,2.0
