,score,params,iteration,recall,accuracy,triggered,spontaneous
1791,0.994875175880993,"{'attractor_size': 64, 'background_activity': 17.919916023925918, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.165024707580766, 'e_i_weight': 2.9101121955763967, 'i_e_weight': 16.839462538186737, 'i_frequency': 15.816366904740267, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1791,0.9898026115840906,1.0,133,0
1169,0.994562180895383,"{'attractor_size': 64, 'background_activity': 12.456707948517476, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.293204595652437, 'e_i_weight': 3.1293466047462095, 'i_e_weight': 11.311013219647464, 'i_frequency': 24.175659778259483, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1169,0.9957940726253655,0.9933333333333333,149,1
811,0.9943358830416924,"{'attractor_size': 64, 'background_activity': 10.017620827273959, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.947893066043175, 'e_i_weight': 1.9845032821561674, 'i_e_weight': 17.120915804088895, 'i_frequency': 17.663051790670572, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",811,0.9956683346125779,0.993006993006993,142,1
1900,0.99427577015957,"{'attractor_size': 64, 'background_activity': 10.163573588829177, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.459043115260668, 'e_i_weight': 3.878087618720454, 'i_e_weight': 16.29011314549997, 'i_frequency': 16.714419721517142, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1900,0.988616700939306,1.0,116,0
71,0.9941808229664836,"{'attractor_size': 64, 'background_activity': 12.12620391688541, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.488647412082473, 'e_i_weight': 2.805641725644376, 'i_e_weight': 14.581431782622271, 'i_frequency': 21.023159479803308, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",71,0.9963712557463988,0.992,124,1
594,0.9939153935169296,"{'attractor_size': 64, 'background_activity': 11.994609872436355, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.195422617873035, 'e_i_weight': 2.0134862007133467, 'i_e_weight': 13.095352002444427, 'i_frequency': 21.623746072214843, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",594,0.994874889522239,0.9929577464788732,141,1
54,0.9939073040079657,"{'attractor_size': 64, 'background_activity': 13.308402805012618, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.001263068934758, 'e_i_weight': 5.961591694992032, 'i_e_weight': 9.689661610161687, 'i_frequency': 11.206334884034732, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",54,0.9878884003108148,1.0,160,0
86,0.9938322489311638,"{'attractor_size': 64, 'background_activity': 11.52210006367151, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.74833786415768, 'e_i_weight': 6.336454003133491, 'i_e_weight': 5.556788449680138, 'i_frequency': 19.03508760279863, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",86,0.9998579022318378,0.9878787878787879,163,2
1528,0.9933659656577893,"{'attractor_size': 64, 'background_activity': 13.419714768621777, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.534470369267355, 'e_i_weight': 3.8526005792248657, 'i_e_weight': 19.45075755472452, 'i_frequency': 14.37162525765044, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1528,0.9935813397351417,0.9931506849315068,145,1
1485,0.9933107855660048,"{'attractor_size': 64, 'background_activity': 13.059729533956453, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.119258225502794, 'e_i_weight': 1.8299102977871171, 'i_e_weight': 18.469313635582743, 'i_frequency': 18.888028819318677, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1485,0.9926105836466548,0.9940119760479041,166,1
