,score,true_states,pred_states,params,iteration
1721,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.56839733107061, 'cue_length': 0.568989871210966, 'cue_percentage': 100, 'delay_A2GO': 2.873436476106894, 'delay_gap_A2B': 0.06685304962397486, 'e_e_max_weight': 13.413475174407909, 'e_i_weight': 4.577440250409619, 'i_e_weight': 18.64469258802949, 'i_frequency': 15.216653572840144, 'thr_GO_state': -46.22976665262242, 'w_acpt': 6.58047036409713, 'w_trans': 8.19053124660205}",1721
1576,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 19.80454646191752, 'cue_length': 0.5962495136859196, 'cue_percentage': 100, 'delay_A2GO': 2.734448876627802, 'delay_gap_A2B': 0.18581898864058793, 'e_e_max_weight': 11.045118617404542, 'e_i_weight': 7.3548236083507454, 'i_e_weight': 7.27073783790474, 'i_frequency': 24.27537725746089, 'thr_GO_state': -53.21559416070472, 'w_acpt': 7.4893520589507165, 'w_trans': 9.417019554760703}",1576
818,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 11.383245581689154, 'cue_length': 0.6014603893858439, 'cue_percentage': 100, 'delay_A2GO': 2.603922383347448, 'delay_gap_A2B': 0.15194337575523875, 'e_e_max_weight': 9.628243319761312, 'e_i_weight': 6.574627643116738, 'i_e_weight': 8.549884811847342, 'i_frequency': 20.745693929856824, 'thr_GO_state': -51.02079512548925, 'w_acpt': 7.530243381273503, 'w_trans': 9.037818838420485}",818
1160,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 13.957595275283545, 'cue_length': 0.6400126704458685, 'cue_percentage': 100, 'delay_A2GO': 2.931394914110847, 'delay_gap_A2B': 0.05046495809647457, 'e_e_max_weight': 6.283413538262442, 'e_i_weight': 4.969031695512703, 'i_e_weight': 17.309763013419804, 'i_frequency': 10.987352482220224, 'thr_GO_state': -51.186822834553546, 'w_acpt': 7.874598859291088, 'w_trans': 12.578551454857843}",1160
1032,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 11.000046812302418, 'cue_length': 0.6618419030101604, 'cue_percentage': 100, 'delay_A2GO': 2.946938171429889, 'delay_gap_A2B': 0.02526069810534072, 'e_e_max_weight': 8.742514793112102, 'e_i_weight': 6.028558959746869, 'i_e_weight': 8.916404155867143, 'i_frequency': 23.881589702322877, 'thr_GO_state': -50.62938948337451, 'w_acpt': 7.743338990079418, 'w_trans': 8.64951407089573}",1032
1155,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 13.079358301015485, 'cue_length': 0.5912106600817247, 'cue_percentage': 100, 'delay_A2GO': 2.976145043049392, 'delay_gap_A2B': 0.04456752437183774, 'e_e_max_weight': 10.664729254215201, 'e_i_weight': 6.230095567570205, 'i_e_weight': 10.095102324133814, 'i_frequency': 20.43469130043977, 'thr_GO_state': -48.77789303283878, 'w_acpt': 7.2876712651854625, 'w_trans': 8.764961046295438}",1155
1034,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 20.041102758159795, 'cue_length': 0.647973426628786, 'cue_percentage': 100, 'delay_A2GO': 2.795137844924801, 'delay_gap_A2B': 0.01730681462221195, 'e_e_max_weight': 8.919757769751175, 'e_i_weight': 7.267453837250201, 'i_e_weight': 8.207639794324145, 'i_frequency': 22.164823052806575, 'thr_GO_state': -47.221539748182686, 'w_acpt': 7.984412877704645, 'w_trans': 8.459481286550506}",1034
1223,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 18.722316760070477, 'cue_length': 0.5380489085252657, 'cue_percentage': 100, 'delay_A2GO': 2.8385129866645853, 'delay_gap_A2B': 0.024021028822906965, 'e_e_max_weight': 13.12784382255089, 'e_i_weight': 4.9585255372599955, 'i_e_weight': 18.505629961404352, 'i_frequency': 14.905167510222496, 'thr_GO_state': -49.865478370671894, 'w_acpt': 6.874518498917001, 'w_trans': 7.197636074065695}",1223
1374,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 14.91650836407507, 'cue_length': 0.5952900744071667, 'cue_percentage': 100, 'delay_A2GO': 2.9470676709124666, 'delay_gap_A2B': 0.04641330819347182, 'e_e_max_weight': 6.772936925003768, 'e_i_weight': 5.779710801849298, 'i_e_weight': 9.973301108519216, 'i_frequency': 11.853940397685157, 'thr_GO_state': -51.11623563454605, 'w_acpt': 7.846364988552646, 'w_trans': 12.881404303375424}",1374
821,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 20.355991146892478, 'cue_length': 0.6315163912759023, 'cue_percentage': 100, 'delay_A2GO': 2.62876309709757, 'delay_gap_A2B': 0.18403886479224424, 'e_e_max_weight': 8.874476365016994, 'e_i_weight': 6.750900550610619, 'i_e_weight': 8.416555621370325, 'i_frequency': 23.843131293807375, 'thr_GO_state': -51.62659018336656, 'w_acpt': 7.513425203299234, 'w_trans': 9.343813556399752}",821
