,score,params,iteration,recall,accuracy,triggered,spontaneous
1804,1.353401980520043,"{'attractor_size': 64, 'background_activity': 15.453568403353598, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.956679036206525, 'e_i_weight': 3.840920440925395, 'i_e_weight': 5.009272712121439, 'i_frequency': 10.005050944020397, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1804,2.0931118558150725,1.0,283,0
1610,1.3533099600072547,"{'attractor_size': 64, 'background_activity': 13.860380065010274, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.938930019585168, 'e_i_weight': 4.888167094834713, 'i_e_weight': 5.468730031184398, 'i_frequency': 10.009699767221255, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1610,2.1045105660606,0.9973190348525469,372,1
1830,1.3525922027614339,"{'attractor_size': 64, 'background_activity': 14.301387409467251, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.770316106717418, 'e_i_weight': 4.623277674348672, 'i_e_weight': 5.023226570611019, 'i_frequency': 10.598104627848677, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1830,2.1137774057047003,0.994475138121547,360,2
1354,1.3519514031943303,"{'attractor_size': 64, 'background_activity': 15.374103731111925, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.16042932589119, 'e_i_weight': 4.660215088768418, 'i_e_weight': 5.001770382301584, 'i_frequency': 10.527306820613362, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1354,2.0861883041770395,1.0,351,0
1615,1.3518844103794223,"{'attractor_size': 64, 'background_activity': 13.797270672690686, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.951626490774657, 'e_i_weight': 4.735130563286112, 'i_e_weight': 5.00773720697792, 'i_frequency': 10.514499371802138, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1615,2.112493989647328,0.993993993993994,331,2
924,1.3516446526506483,"{'attractor_size': 64, 'background_activity': 15.0612124704105, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.301639242421544, 'e_i_weight': 4.340294111961547, 'i_e_weight': 5.685716507516808, 'i_frequency': 10.399354834718102, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",924,2.110765874057168,0.9941176470588236,338,2
1598,1.3509871632284325,"{'attractor_size': 64, 'background_activity': 13.620828126551404, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.478861613915836, 'e_i_weight': 4.295277065405446, 'i_e_weight': 6.066715313459237, 'i_frequency': 10.011547449699354, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1598,2.0816031466322724,1.0,299,0
1553,1.350754599280595,"{'attractor_size': 64, 'background_activity': 14.811213568655763, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 8.702433719983036, 'e_i_weight': 4.369883662513501, 'i_e_weight': 6.888299069203056, 'i_frequency': 10.003919740725616, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1553,2.094835824056403,0.9967213114754099,304,1
806,1.3493898612720259,"{'attractor_size': 64, 'background_activity': 12.636870438220065, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.724314817943032, 'e_i_weight': 4.7312772809126145, 'i_e_weight': 5.846058419223132, 'i_frequency': 10.644661505497542, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",806,2.0875254243794106,0.9968944099378882,321,1
1681,1.349155019662872,"{'attractor_size': 64, 'background_activity': 13.235953397286066, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.849289184976966, 'e_i_weight': 4.832584464463699, 'i_e_weight': 5.2761293298962375, 'i_frequency': 10.027115445994284, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1681,2.072928363009008,1.0,262,0
