,i_frequency,background_activity,i_e_weight,e_i_weight,e_e_max_weight,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
0,24.47655712532213,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7875650591864273,0.651175342889635,0.9962801133679736,193.66666666666666,0.6666666666666666,24.48
1,24.92365120140859,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7674680957122991,0.6278459380941945,0.9874957231936637,189.33333333333334,2.3333333333333335,24.92
2,25.06256597067217,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7593283476586622,0.6142032752477542,0.995432784092578,195.0,1.0,25.06
3,25.076337611263426,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7338755351954429,0.5849798416718931,0.9844565988823017,157.66666666666666,2.3333333333333335,25.08
4,26.12191417193621,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7455111399281463,0.6003497720657544,0.9841947373316405,193.0,2.6666666666666665,26.12
5,26.14166422235577,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7554516319251051,0.6095007870072302,0.9946236559139785,199.66666666666666,1.0,26.14
6,26.251938449132503,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7422978903083605,0.5951443418884846,0.987078502595744,169.66666666666666,2.0,26.25
7,26.549397234256617,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7215188857164317,0.5707568522858494,0.9868894993894995,180.33333333333334,2.3333333333333335,26.55
8,26.827560348621645,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7367030105763505,0.5869856565467585,0.9922928850299466,169.0,1.3333333333333333,26.83
9,26.94432404956496,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7074870698011066,0.5498583004685264,0.9926819338730087,139.0,1.0,26.94
10,27.81502387953911,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7255384800849854,0.5713262903242207,0.9940287440799599,173.66666666666666,1.0,27.82
11,27.917569857558416,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6966813747045405,0.5396390899585318,0.986415584038674,156.33333333333334,2.0,27.92
12,28.739747810455917,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6905142241384533,0.5292200110153955,0.9933501683501683,146.0,1.0,28.74
13,28.77521084933359,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7093146689941969,0.551919607615856,0.993886614309098,163.66666666666666,1.0,28.78
14,28.939730208218396,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6854157372647535,0.5222493469149928,0.9977324263038548,142.66666666666666,0.3333333333333333,28.94
15,29.004889394824257,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6961839936016809,0.5360274890152157,0.9933599584388597,147.66666666666666,1.0,29.00
16,29.105328256086697,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6898991573522023,0.5316457635731177,0.9829694188897343,170.66666666666666,3.0,29.11
17,29.19470896891512,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6995433448455515,0.5396444244134634,0.9947501066767611,189.66666666666666,1.0,29.19
18,29.24347616422512,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6862250456488477,0.5243577252463472,0.9933679224001805,145.0,1.0,29.24
19,29.47630533735279,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6733845043944644,0.5102598199275603,0.9912173691018947,151.33333333333334,1.3333333333333333,29.48
20,29.590947789567977,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6670869757117351,0.5044569118095938,0.9845648925552073,171.33333333333334,2.6666666666666665,29.59
21,29.788436898550454,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6856045812105415,0.5236606662570341,0.9936285936285936,147.33333333333334,1.0,29.79
22,29.902623488759,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6772980475198936,0.5165695758789534,0.9835297686363208,159.0,2.6666666666666665,29.90
23,30.050569861891358,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6870061396720871,0.5261781710670242,0.9897461590431461,164.66666666666666,1.6666666666666667,30.05
24,30.138981133400655,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.7042818964149445,0.5441613402972427,0.9983079526226734,177.66666666666666,0.3333333333333333,30.14
25,30.26632423894573,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6735637235946131,0.5106529922790125,0.9902882205513784,146.0,1.3333333333333333,30.27
26,30.334783952606074,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6694176631424763,0.5065810412076329,0.9884161623571123,136.33333333333334,1.6666666666666667,30.33
27,30.340972768780272,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6848255578428143,0.5228111962904621,0.9938095238095238,154.33333333333334,1.0,30.34
28,30.63829590313153,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6921429217327207,0.5305274048007745,0.9961238999876055,166.66666666666666,0.6666666666666666,30.64
29,30.658102002894942,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6783547699458619,0.5155369458283537,0.9923046548251578,171.66666666666666,1.3333333333333333,30.66
30,30.73498409295167,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.678728780026698,0.5171275035893608,0.9875080454812651,140.33333333333334,1.6666666666666667,30.73
31,30.77888712401833,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6934905131846604,0.5343859634386984,0.9882257733556116,147.0,1.6666666666666667,30.78
32,30.778902919512227,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6646980983622819,0.5001501542159774,0.9981378026070763,150.0,0.3333333333333333,30.78
33,30.872471823332578,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6743707594273766,0.5108652333280603,0.9920015579120062,169.0,1.3333333333333333,30.87
34,31.025709178479353,13.855558143033827,5.302236785709991,4.253159333783978,14.337885250035841,100.0,1.0,4.0,64.0,320.0,10.0,0.6545321451284488,0.48995848155887695,0.9912181813199933,146.33333333333334,1.3333333333333333,31.03
