,score,params,iteration
402,0.7878787878787878,"{'background_activity': 13.855558143033827, 'cue_length': 0.513141209303625, 'cue_percentage': 100, 'delay_A2GO': 2.0506400454172526, 'delay_gap_A2B': 0.06729242159249718, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -52.56353267076404, 'w_acpt': 1.4391073837024586, 'w_trans': 6.898596074987625}",402
581,0.7575757575757576,"{'background_activity': 13.855558143033827, 'cue_length': 0.5266039181885277, 'cue_percentage': 100, 'delay_A2GO': 2.281932043716887, 'delay_gap_A2B': 0.07858085300883172, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -53.14622728478368, 'w_acpt': 1.1636198747875273, 'w_trans': 6.078002056893612}",581
500,0.7575757575757576,"{'background_activity': 13.855558143033827, 'cue_length': 0.5992469410949076, 'cue_percentage': 100, 'delay_A2GO': 2.2691289733941855, 'delay_gap_A2B': 0.09992023850087652, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -50.79350590042666, 'w_acpt': 1.4005167979092155, 'w_trans': 6.221735699075322}",500
572,0.7272727272727273,"{'background_activity': 13.855558143033827, 'cue_length': 0.5114756880176233, 'cue_percentage': 100, 'delay_A2GO': 2.2165612114022113, 'delay_gap_A2B': 0.03257654745103811, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -52.08285118788183, 'w_acpt': 1.4982163988282484, 'w_trans': 5.096425146002449}",572
1108,0.7272727272727273,"{'background_activity': 13.855558143033827, 'cue_length': 0.5002301932644158, 'cue_percentage': 100, 'delay_A2GO': 2.1480122016986085, 'delay_gap_A2B': 0.055267835814025876, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -51.25633976428852, 'w_acpt': 1.2553016765622103, 'w_trans': 6.000003845662134}",1108
559,0.7272727272727273,"{'background_activity': 13.855558143033827, 'cue_length': 0.7134887013567056, 'cue_percentage': 100, 'delay_A2GO': 1.7276444044576602, 'delay_gap_A2B': 0.20423793262362797, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -51.56438722973087, 'w_acpt': 1.5352454132833588, 'w_trans': 4.464555888540909}",559
1852,0.7272727272727273,"{'background_activity': 13.855558143033827, 'cue_length': 0.6042608058093549, 'cue_percentage': 100, 'delay_A2GO': 2.1298958776919097, 'delay_gap_A2B': 0.09289584162949702, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -50.65601126201374, 'w_acpt': 1.300978390365774, 'w_trans': 6.04567295254424}",1852
348,0.7272727272727273,"{'background_activity': 13.855558143033827, 'cue_length': 0.6292274044296238, 'cue_percentage': 100, 'delay_A2GO': 2.119535798095326, 'delay_gap_A2B': 0.18006612494584961, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -53.11905123151538, 'w_acpt': 2.0720737284213544, 'w_trans': 5.941331745446463}",348
1648,0.696969696969697,"{'background_activity': 13.855558143033827, 'cue_length': 0.5873797160667946, 'cue_percentage': 100, 'delay_A2GO': 2.1570712587094905, 'delay_gap_A2B': 0.07164857169327976, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -50.77528871575817, 'w_acpt': 1.6858558881939247, 'w_trans': 6.006001809257884}",1648
1342,0.696969696969697,"{'background_activity': 13.855558143033827, 'cue_length': 0.5854106217521602, 'cue_percentage': 100, 'delay_A2GO': 2.1358303337150075, 'delay_gap_A2B': 0.05611803368868875, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -51.88393842193437, 'w_acpt': 1.8613212436711946, 'w_trans': 6.405584073282728}",1342
1375,0.696969696969697,"{'background_activity': 13.855558143033827, 'cue_length': 0.5555458575253491, 'cue_percentage': 100, 'delay_A2GO': 2.23145211544055, 'delay_gap_A2B': 0.027325065177270628, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -50.67346656990797, 'w_acpt': 1.4502379897431108, 'w_trans': 7.007989871981183}",1375
1380,0.696969696969697,"{'background_activity': 13.855558143033827, 'cue_length': 0.7594205857694648, 'cue_percentage': 100, 'delay_A2GO': 2.0629307474942853, 'delay_gap_A2B': 0.22500396886760274, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -52.862458862568076, 'w_acpt': 2.1029879328353713, 'w_trans': 4.012242661161977}",1380
531,0.696969696969697,"{'background_activity': 13.855558143033827, 'cue_length': 0.6903634543038278, 'cue_percentage': 100, 'delay_A2GO': 2.7928934442985383, 'delay_gap_A2B': 0.2079221213507838, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -47.81756876774664, 'w_acpt': 1.0015906421378578, 'w_trans': 7.600208059332832}",531
404,0.696969696969697,"{'background_activity': 13.855558143033827, 'cue_length': 0.5439594451225218, 'cue_percentage': 100, 'delay_A2GO': 2.2640217726085314, 'delay_gap_A2B': 0.03474464125487084, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -52.19996954681255, 'w_acpt': 1.5524387677541185, 'w_trans': 5.149087972938539}",404
1604,0.696969696969697,"{'background_activity': 13.855558143033827, 'cue_length': 0.7850140807824633, 'cue_percentage': 100, 'delay_A2GO': 2.1493358061718033, 'delay_gap_A2B': 0.21756237234901687, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -50.120028859023115, 'w_acpt': 1.748371140945709, 'w_trans': 4.265473073607173}",1604
