,score,params,iteration
1784,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1784
1776,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1776
617,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",617
619,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",619
1832,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1832
1835,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1835
1107,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1107
113,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",113
1851,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1851
109,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",109
1085,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1085
645,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",645
100,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",100
1876,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1876
1045,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1045
1887,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1887
683,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",683
1018,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1018
1013,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1013
1266,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1266
1268,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1268
1277,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1277
1683,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1683
1572,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1572
1570,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1570
341,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",341
1625,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1625
281,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",281
352,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",352
354,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",354
273,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",273
1642,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1642
366,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",366
1482,1.0,"{'background_activity': 13.855558143033827, 'cue_length': 0.5521549837529528, 'cue_percentage': 100, 'delay_A2GO': 1.6379076494149138, 'delay_gap_A2B': 0.06110151087793095, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -44.56554287084625, 'w_acpt': 1.5290052875899312, 'w_trans': 2.4609301496577096}",1482
