,e_i_weight,background_activity,i_e_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous
0,-1.6626371900651185,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.31038760088693357,0.710765393229604,0.1985521631673058,210.0,847.3333333333334
1,1.2329323176612852,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3364525343281583,0.6347441070374367,0.2289304005229551,209.0,702.3333333333334
2,1.2440472562559126,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.34428569333932185,0.634120023044755,0.23630846124844726,208.33333333333334,674.0
3,1.363454963711975,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.3421541413824653,0.6190111486585904,0.23644311164811083,161.0,520.6666666666666
4,1.4871136627376726,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.37554814525439406,0.6418670033413423,0.26553187534948935,188.33333333333334,516.3333333333334
5,1.868052395823927,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.5171509233010093,0.6648490677101917,0.4231699070160609,182.66666666666666,249.66666666666666
6,1.9273491351012253,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.49339915437372067,0.6511222836818304,0.3974875021187829,173.66666666666666,267.3333333333333
7,2.896126804644832,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7871199616216996,0.8171761341824458,0.760690830082465,236.33333333333334,75.33333333333333
8,3.0522618950743015,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.8498338915593945,0.8582857508577759,0.8421471052240618,253.0,47.666666666666664
9,4.40201467405252,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.99093802996885,0.9931281784778995,0.9888480620110972,313.6666666666667,3.6666666666666665
10,4.5214913188554196,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9839651256933362,0.9986930572470788,0.9696835786385075,276.0,8.333333333333334
11,4.535645446833433,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,1.0019798635671717,1.009710439388334,0.9944131061746674,300.0,1.6666666666666667
12,4.9317965951712415,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9983496337152834,1.004108606799784,0.9927166497972455,294.6666666666667,2.0
13,5.3912916384687986,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9639325545273509,0.9371934321511478,0.9926216826463237,288.3333333333333,2.0
14,5.5037019953370505,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.9571676177720182,0.923648367247942,0.9936673871600831,263.0,1.6666666666666667
15,6.501394003373981,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.7004472660362874,0.5419093589780614,0.9932885906040269,143.33333333333334,1.0
16,6.709047826314746,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.6690665344570396,0.5065039819258066,0.9979296066252589,156.33333333333334,0.3333333333333333
17,7.569320534418735,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.24733876118912754,0.14309545524068393,0.9925925925925926,48.666666666666664,0.3333333333333333
18,8.094230080746183,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.12031553230304204,0.06412561744445926,1.0,16.666666666666668,0.0
19,8.683309118233243,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.046413653571871265,0.02379389647957191,0.9743589743589745,8.0,0.3333333333333333
20,10.220674021037492,15.095621488966964,5.011403421477593,14.531800821256894,10.003928854474928,100.0,1.0,4.0,64.0,320.0,10.0,0.0,0.0,0.0,0.0,0.0
